SchoolID,NAME,Managed by Network,Geographic Area,"ES
or
HS","20th DAY
2013-14 School
Enrollment",Total # CR,IC,School's Space Utilization Index,"Space Use Status - 
Permanent","Moible
CR's","Leased
Cr's",Adj IC,Adj Util,"Space Use Status - 
Adjusted",,,,,,,,,
610239,DALEY,8,McKinley Park,ES,709,33.5,750,95%,Efficient,,,,95%,Efficient,,,,,,,,,
609875,DARWIN,4,Logan,ES,593,48.0,"1,080",55%,Underutilized,,,,55%,Underutilized,,,,,,,,,
610521,DAVIS M,11,Englewood,ES,336,27.0,600,56%,Underutilized,,,,56%,Underutilized,,,,,,,,,
609876,"DAVIS, N",8,McKinley Park,ES,916,47.5,"1,080",85%,Efficient,,,,85%,Efficient,,,,,,,,,
609879,DAWES,10,Ashburn,ES,1028,32.5,750,137%,Overcrowded,8,,930,111%,Efficient,,,,,,,,,
610313,DE DIEGO,5,Humboldt Park,ES,934,50.5,"1,140",82%,Efficient,,,,82%,Efficient,,,,,,,,,
609950,DE DOMINGUEZ,7,Pilsen - Little Village,ES,728,29.5,660,110%,Efficient,,,,110%,Efficient,,,,,,,,,
609880,DECATUR,2,Ravenswood,ES,286,11.0,240,119%,Efficient,,,,119%,Efficient,,,,,,,,,
609883,DENEEN,AUSL,Chatham,ES,619,33.0,750,83%,Efficient,,,,83%,Efficient,,,,,,,,,
610367,DEPRIEST,3,Austin,ES,723,40.0,900,80%,Efficient,,,,80%,Efficient,,,,,,,,,
610252,DETT,6,Near West,ES,470,36.0,810,58%,Underutilized,,,,58%,Underutilized,,,,,,,,,
609884,DEVER,1,Reed-Dunning,ES,847,28.0,630,134%,Overcrowded,4,,720,118%,Efficient,,,,,,,,,
610402,DEVRY HS,4,Logan,HS,192,8.0,192,100%,Efficient,,,,100%,Efficient,,,,,,,,,
609885,DEWEY,AUSL,Englewood,ES,360,27.5,630,57%,Underutilized,,,,57%,Underutilized,,,,,,,,,
609874,DIRKSEN,1,Reed-Dunning,ES,807,23.5,540,149%,Overcrowded,8,,720,112%,Efficient,,,,,,,,,
610363,DISNEY,2,Ravenswood,ES,1678,84.0,"1,920",87%,Efficient,,,,87%,Efficient,,,,,,,,,
610515,DISNEY II ELEM,1,Albany Irving,ES,414,22.0,480,86%,Efficient,,,,86%,Efficient,,,,,,,,,
610564,DISNEY II HS,1,Albany Irving,HS,247,19.5,468,53%,Underutilized,,,,53%,Underutilized,,,,,,,,,
609887,DIXON,12,Chatham,ES,661,29.0,660,100%,Efficient,,,,100%,Efficient,,,,,,,,,
609888,DODGE,AUSL,Garfield - West Humboldt,ES,248,17.5,390,64%,Underutilized,,,,64%,Underutilized,,,,,,,,,
609891,DOOLITTLE,9,Bronzeville,ES,304,23.0,510,60%,Underutilized,,,,60%,Underutilized,,,,,,,,,
609893,DORE,10,MDW,ES,646,18.5,420,154%,Overcrowded,4,,510,127%,Overcrowded,,,,,,,,,
610245,DOUGLASS HS,3,Austin,HS,291,41.0,984,30%,Underutilized,,,,30%,Underutilized,,,,,,,,,
609894,DRAKE,9,Bronzeville,ES,517,26.5,600,86%,Efficient,,,,86%,Efficient,,,,,,,,,
609896,DRUMMOND,6,Near North,ES,349,15.0,330,106%,Efficient,,,,106%,Efficient,,,,,,,,,
610364,DUBOIS,13,Far South Side,ES,205,15.0,330,62%,Underutilized,,,,62%,Underutilized,,,,,,,,,
610263,DULLES,AUSL,Woodlawn,ES,788,38.0,870,91%,Efficient,,,,91%,Efficient,,,,,,,,,
609676,DUNBAR HS,9,Bronzeville,HS,1188,84.0,"2,016",59%,Underutilized,,,,59%,Underutilized,,,,,,,,,
610188,DUNNE,13,Far South Side,ES,294,24.5,540,54%,Underutilized,,,,54%,Underutilized,,,,,,,,,
610352,DURKIN PARK,10,Ashburn,ES,592,27.0,600,99%,Efficient,4,,690,86%,Efficient,,,,,,,,,
610254,DVORAK,5,North Lawndale,ES,547,33.0,750,73%,Underutilized,,,,73%,Underutilized,,,,,,,,,
609736,DYETT HS,9,Bronzeville,HS,83,47.0,"1,128",7%,Underutilized,,,,7%,Underutilized,,,,,,,,,
610316,EARHART,12,South Shore,ES,263,13.5,300,88%,Efficient,,,,88%,Efficient,,,,,,,,,
609897,EARLE,11,Englewood,ES,530,30.0,690,77%,Underutilized,,,,77%,Underutilized,,,,,,,,,
609898,EBERHART,10,Chicago Lawn,ES,1591,63.0,"1,440",110%,Efficient,4,,"1,530",104%,Efficient,,,,,,,,,
609899,EBINGER,1,Sauganash,ES,732,23.0,510,144%,Overcrowded,8,,690,106%,Efficient,,,,,,,,,
609901,EDGEBROOK,1,Sauganash,ES,504,21.0,480,105%,Efficient,,,,105%,Efficient,,,,,,,,,
609794,EDISON,1,Albany Irving,ES,276,15.0,330,84%,Efficient,,,,84%,Efficient,,,,,,,,,
610523,EDISON PARK,1,Sauganash,ES,470,24.0,540,87%,Efficient,,,,87%,Efficient,,,,,,,,,
609903,EDWARDS,8,McKinley Park,ES,1520,39.0,900,169%,Overcrowded,8,14,"1,380",110%,Efficient,,,,,,,,,
609904,ELLINGTON,3,Austin,ES,735,40.0,900,82%,Efficient,,,,82%,Efficient,,,,,,,,,
400094,EPIC HS,Charter,South Shore,HS,493,26.0,624,79%,Underutilized,,,,79%,Underutilized,,,,,,,,,
