Ward,Precinct,Precinct Code,Emanuel,%,Del Valle,%,M-B,%,Chico,%,Watkins,%,Walls,%,Total,,White,%,AA,%,Hispanic,%,Asian,%,Native Am,%,Hawaiian,%,Other,%,2 or More,%,Total,Majority
4,9,4009,339,66.60%,22,4.32%,88,17.29%,34,6.68%,14,2.75%,12,2.36%,509,,485,24.23%,"1,108",55.34%,86,4.30%,248,12.39%,2,0.10%,1,0.05%,8,0.40%,62,3.10%,"2,002",AA
4,10,4010,167,59.64%,15,5.36%,57,20.36%,27,9.64%,7,2.50%,7,2.50%,280,,34,3.49%,884,90.85%,22,2.26%,9,0.92%,0,0.00%,2,0.21%,5,0.51%,18,1.85%,973,AA
4,11,4011,131,64.53%,7,3.45%,41,20.20%,15,7.39%,7,3.45%,3,1.48%,203,,22,3.09%,584,82.02%,10,1.40%,80,11.24%,1,0.14%,0,0.00%,1,0.14%,14,1.97%,712,AA
4,12,4012,87,52.10%,8,4.79%,37,22.16%,21,12.57%,4,2.40%,10,5.99%,167,,16,1.91%,788,93.92%,14,1.67%,3,0.36%,1,0.12%,0,0.00%,0,0.00%,16,1.91%,839,AA
4,13,4013,130,59.09%,35,15.91%,30,13.64%,20,9.09%,2,0.91%,3,1.36%,220,,271,30.62%,474,53.56%,43,4.86%,66,7.46%,2,0.23%,0,0.00%,2,0.23%,28,3.16%,885,AA
4,14,4014,104,61.90%,4,2.38%,26,15.48%,17,10.12%,9,5.36%,8,4.76%,168,,37,2.57%,"1,342",93.39%,21,1.46%,8,0.56%,1,0.07%,0,0.00%,2,0.14%,27,1.88%,"1,437",AA
4,15,4015,153,60.00%,20,7.84%,39,15.29%,31,12.16%,8,3.14%,4,1.57%,255,,43,5.33%,702,87.10%,24,2.98%,17,2.11%,1,0.12%,0,0.00%,2,0.25%,17,2.11%,806,AA
4,16,4016,169,56.15%,14,4.65%,75,24.92%,28,9.30%,13,4.32%,2,0.66%,301,,24,3.74%,586,91.42%,11,1.72%,4,0.62%,0,0.00%,0,0.00%,1,0.16%,15,2.34%,641,AA
4,17,4017,203,66.78%,21,6.91%,43,14.14%,23,7.57%,9,2.96%,5,1.64%,304,,147,24.38%,333,55.22%,26,4.31%,75,12.44%,1,0.17%,0,0.00%,2,0.33%,19,3.15%,603,AA
4,18,4018,138,54.33%,18,7.09%,50,19.69%,28,11.02%,4,1.57%,16,6.30%,254,,25,2.82%,812,91.65%,25,2.82%,2,0.23%,1,0.11%,0,0.00%,0,0.00%,20,2.26%,886,AA
