PRECINCT,WARD,FULL_TEXT,SHAPE_AREA,SHAPE_LEN
44,6,06044,1595517.623499999986961,5441.470105909999802
45,6,06045,1431018.311130000045523,4982.504159189999882
48,6,06048,1933827.849639999913052,7057.582583280000108
47,6,06047,2955380.510240000206977,7687.790334190000067
46,6,06046,1656855.367550000082701,6648.252218370000264
42,6,06042,1431131.983580000000075,5979.649333860000297
40,6,06040,1487227.808010000037029,5970.925785890000043
38,6,06038,2938616.029409999959171,7074.980692230000386
36,6,06036,1218534.059050000039861,4700.660050819999924
28,6,06028,2115064.858750000130385,7046.652309879999848
27,6,06027,1809308.152089999988675,5960.660120769999594
26,6,06026,2684012.011330000124872,7949.832911810000041
25,6,06025,2222699.532790000084788,7627.816142310000032
24,6,06024,1758292.924300000071526,5967.231018520000362
23,6,06023,2196282.758909999858588,7287.882981280000422
22,6,06022,2074184.1024299999699,7175.922243019999769
16,7,07016,1608372.652699999976903,5944.384190710000439
21,6,06021,2259817.563860000111163,6840.493637059999855
20,6,06020,2550394.161900000181049,9260.547007780000058
17,6,06017,3782267.099669999908656,8435.682582159999583
10,6,06010,4148108.617709999904037,8911.981575919999159
9,6,06009,2797004.197740000206977,8211.980473190000339
2,6,06002,2317953.158840000163764,6591.968521720000354
3,7,07003,1825900.436650000046939,9425.555890069999805
1,7,07001,2012386.41078000003472,7660.351228430000447
2,7,07002,1447268.119699999922886,5004.33702785999958
33,7,07033,2420823.966680000070482,9430.54735557999993
29,7,07029,1650613.655740000074729,5300.146770659999675
17,7,07017,2663174.049240000080317,7623.578189500000008
30,7,07030,1868307.967729999916628,5965.17918408999958
31,7,07031,5308562.81228999979794,10553.714221899999757
20,7,07020,1865617.469800000078976,5963.460709130000396
4,7,07004,1753576.511709999991581,5301.040610400000332
21,7,07021,2185568.430649999994785,8926.835929790000591
13,7,07013,1873397.365719999885187,7737.08066454999971
35,7,07035,3887734.564739999826998,12082.7228154000004
10,7,07010,2176655.977380000054836,6628.171698000000106
19,7,07019,1675080.21222999994643,5621.107063829999788
28,7,07028,1963223.64468999998644,5881.669708010000249
18,7,07018,6634495.385490000247955,13348.496452999999747
34,7,07034,2076080.004960000049323,7269.754983269999684
44,7,07044,1948606.410440000006929,5933.877445680000164
7,7,07007,1941221.811620000051335,6826.871943830000419
40,7,07040,2445629.0585199999623,6847.360332469999776
27,7,07027,1868200.015640000114217,5969.394457499999589
23,7,07023,2196507.340859999880195,5964.663845570000376
12,7,07012,2049274.97054999996908,7211.845207260000279
14,7,07014,1883293.105380000080913,7849.73944130000018
22,7,07022,11538539.876299999654293,15104.406794099999388
25,7,07025,2888035.979210000019521,8978.173743740000646
5,7,07005,1420320.44491000007838,5111.010807810000188
6,7,07006,1010584.094580000033602,6090.688255449999815
39,7,07039,2724315.54333999985829,6838.793192780000027
42,7,07042,2474226.833649999927729,7932.285053419999713
38,7,07038,9864107.739660000428557,18238.162924000000203
32,7,07032,2206373.278950000181794,6310.850813430000017
37,7,07037,4124738.897280000150204,8628.761598630000663
24,7,07024,2413598.033019999973476,6625.125362949999726
8,7,07008,1079210.434750000014901,4967.293352679999771
43,7,07043,2849149.974160000216216,7934.709773470000073
15,7,07015,2202949.760439999867231,7957.608600810000098
26,7,07026,1738019.296670000068843,8425.344348439999521
4,8,08004,2865522.072769999969751,7966.722892320000028
36,7,07036,3284344.976150000002235,8309.672568949999913
45,7,07045,6053464.456960000097752,13443.301352099999349
41,7,07041,2389657.131819999776781,7003.239247139999861
46,7,07046,793223.058750999975018,3934.041313239999909
1,8,08001,2410828.497030000202358,8768.746446979999746
45,2,02045,476271.144933999981731,2986.071131040000182
2,8,08002,3198811.978029999881983,12674.118189299999358
21,8,08021,2452711.222829999867827,7317.017161470000246
15,8,08015,2717519.874780000187457,10726.904730199999904
16,8,08016,1683980.820760000031441,6653.641320519999681
3,8,08003,2822995.376470000017434,7457.899615819999781
5,8,08005,2426437.45735999988392,7970.718214219999936
6,8,08006,2410801.691810000222176,7176.2529176500002
7,8,08007,2309415.53775000013411,6298.046774340000411
8,8,08008,2239658.703079999890178,6779.651970070000061
10,8,08010,5917483.042299999855459,10475.732800699999643
11,8,08011,3798485.610799999907613,10147.273249600000781
12,8,08012,3335568.861870000138879,10048.106512099999236
13,8,08013,1842978.454189999960363,7967.831712299999708
14,8,08014,1265184.988320000004023,5597.476037720000022
17,8,08017,1591845.827529999893159,4990.777183729999706
18,8,08018,1212221.217949999962002,4983.975624079999761
19,8,08019,2202521.951400000136346,6640.824592199999643
20,8,08020,2737062.613580000121146,6982.198354729999664
24,8,08024,1568747.289610000094399,7818.329615540000304
27,8,08027,4709674.951700000092387,10055.043560199999774
28,8,08028,2288167.514289999846369,7643.72492149000027
29,8,08029,2372798.957630000077188,7269.701035600000068
30,8,08030,3356325.048630000092089,9190.097297829999661
31,8,08031,1787180.008360000094399,7285.655625989999862
32,8,08032,10557576.022900000214577,17491.082517800001369
33,8,08033,7838551.872919999994338,13675.778487800000221
34,8,08034,7451873.833909999579191,11190.614365999999791
35,8,08035,3201804.457589999772608,7813.726365180000357
36,8,08036,1873088.062230000039563,7294.879582759999721
38,8,08038,5588967.744760000146925,9844.056702989999394
39,8,08039,4331528.715959999710321,10465.611154599999281
40,8,08040,1769843.183669999940321,6673.02370731999963
43,8,08043,1486082.59300999995321,5646.14106301999982
46,8,08046,3523167.032569999806583,11992.162210200000118
47,8,08047,2342994.391739999875426,6211.717938429999776
49,8,08049,2007116.477029999950901,7100.560116839999864
50,8,08050,3343369.379189999774098,10171.63013040000078
51,8,08051,2542374.017789999954402,6750.227578670000185
52,8,08052,2411481.393350000027567,6516.361864049999895
37,8,08037,1838279.908009999897331,6525.084508169999935
48,8,08048,2248890.381959999911487,6576.874340999999731
45,8,08045,1685234.459770000074059,6007.015162229999987
44,8,08044,1682100.306790000060573,5287.306227979999676
42,8,08042,2934008.819329999852926,9992.033549129999301
56,8,08056,1782958.722479999996722,6003.952008659999592
20,43,43020,1312612.14109000004828,5301.539595010000085
26,8,08026,5062638.580529999919236,12438.010946200000035
25,8,08025,2112239.59353999979794,8007.464146569999684
22,8,08022,3974231.844159999862313,10178.781687099999544
23,8,08023,2592824.966849999967963,6913.433904849999635
53,8,08053,1318361.508540000068024,6590.339961779999612
54,8,08054,1629894.458660000003874,6799.228959400000349
55,8,08055,2568812.139429999981076,7531.149501120000423
41,8,08041,2015585.915779999922961,6884.319549439999719
6,10,10006,3193251.646679999772459,7429.574227029999747
8,10,10008,5594487.527379999868572,11572.683301200000642
15,10,10015,4938794.158280000090599,10279.958964800000103
34,17,17034,1406573.768179999897256,5979.828718179999669
