"Elec"
"Emanuel","Emanuel_Pct","Pct","Votes Cast","Wilson","Wilson_Pct","property10","property7","property8","property9"
"271","45.39%","40","597","315","52.76%","1.01%","5","0.84%","6"
"274","53.20%","41","515","235","45.63%","0.19%","5","0.97%","1"
"284","52.11%","42","545","243","44.59%","1.65%","9","1.65%","9"
"248","51.24%","43","484","231","47.73%","0.21%","4","0.83%","1"
"251","46.14%","44","544","287","52.76%","0.74%","2","0.37%","4"
"283","61.79%","45","458","170","37.12%","0.66%","2","0.44%","3"
"296","54.41%","46","544","230","42.28%","0.92%","13","2.39%","5"
"303","56.64%","47","535","223","41.68%","0.56%","6","1.12%","3"
"","%","","Votes Cast","","%","%","","%",""
"344","56.30%","1","611","261","42.72%","0.65%","2","0.33%","4"
"517","67.06%","2","771","237","30.74%","0.26%","15","1.95%","2"
"433","71.45%","3","606","154","25.41%","1.32%","11","1.82%","8"
"531","67.90%","4","782","238","30.43%","0.51%","9","1.15%","4"
"340","65.01%","5","523","174","33.27%","0.19%","8","1.53%","1"
"407","67.61%","6","602","191","31.73%","0.17%","3","0.50%","1"
"462","64.17%","7","720","255","35.42%","0.00%","3","0.42%","0"
"393","68.71%","8","572","166","29.02%","0.87%","8","1.40%","5"
"456","71.70%","9","636","164","25.79%","0.94%","10","1.57%","6"
"346","65.78%","10","526","167","31.75%","0.95%","8","1.52%","5"
"247","52.78%","11","468","217","46.37%","0.00%","4","0.85%","0"
"324","57.96%","12","559","228","40.79%","0.18%","6","1.07%","1"
"324","61.60%","13","526","196","37.26%","0.19%","5","0.95%","1"
"411","62.65%","14","656","228","34.76%","0.61%","13","1.98%","4"
"331","57.97%","15","571","234","40.98%","0.35%","4","0.70%","2"
"390","65.00%","16","600","193","32.17%","1.00%","11","1.83%","6"
"286","53.06%","17","539","237","43.97%","0.19%","15","2.78%","1"
"398","63.58%","18","626","212","33.87%","0.32%","14","2.24%","2"
"387","55.68%","19","695","302","43.45%","0.29%","4","0.58%","2"
"358","54.66%","20","655","285","43.51%","0.46%","9","1.37%","3"
"308","69.53%","21","443","128","28.89%","0.68%","4","0.90%","3"
"","%","","Votes Cast","","%","%","","%",""
"198","58.06%","22","341","141","41.35%","0.00%","2","0.59%","0"
"343","54.79%","23","626","269","42.97%","0.48%","11","1.76%","3"
"394","61.37%","24","642","242","37.69%","0.31%","4","0.62%","2"
"357","55.87%","25","639","274","42.88%","0.47%","5","0.78%","3"
"411","63.62%","26","646","226","34.98%","0.46%","6","0.93%","3"
"324","65.59%","27","494","155","31.38%","0.20%","14","2.83%","1"
"444","65.49%","28","678","213","31.42%","0.74%","16","2.36%","5"
"381","61.45%","29","620","227","36.61%","0.48%","9","1.45%","3"
"302","60.16%","30","502","190","37.85%","1.20%","4","0.80%","6"
"353","57.96%","31","609","248","40.72%","0.33%","6","0.99%","2"
"287","56.05%","32","512","214","41.80%","0.59%","8","1.56%","3"
"387","68.98%","33","561","161","28.70%","1.43%","5","0.89%","8"
"325","52.85%","34","615","281","45.69%","0.65%","5","0.81%","4"
"15882","62.70%","","","8973","35.43%","0.52%","343","1.35%","131"
"519","66.37%","35","782","253","32.35%","0.51%","6","0.77%","4"
"528","65.92%","36","801","262","32.71%","0.25%","9","1.12%","2"
"283","60.47%","37","468","182","38.89%","0.00%","3","0.64%","0"
"377","64.33%","38","586","198","33.79%","0.51%","8","1.37%","3"
"381","62.25%","39","612","208","33.99%","0.65%","19","3.10%","4"
"397","63.62%","40","624","212","33.97%","0.96%","9","1.44%","6"
"444","70.25%","41","632","163","25.79%","0.79%","20","3.16%","5"
"454","69.63%","42","652","187","28.68%","0.46%","8","1.23%","3"
"","%","","Votes Cast","","%","%","","%",""
"427","71.64%","1","596","157","26.34%","0.84%","7","1.17%","5"
"370","60.36%","2","613","227","37.03%","0.82%","11","1.79%","5"
"334","59.01%","3","566","219","38.69%","0.35%","11","1.94%","2"
"447","60.08%","4","744","282","37.90%","0.54%","11","1.48%","4"
"435","64.83%","5","671","227","33.83%","0.30%","7","1.04%","2"
"404","63.62%","6","635","214","33.70%","0.63%","13","2.05%","4"
"298","72.51%","7","411","108","26.28%","0.24%","4","0.97%","1"
"347","68.31%","8","508","153","30.12%","0.59%","5","0.98%","3"
"459","66.04%","9","695","228","32.81%","0.29%","6","0.86%","2"
"439","59.49%","10","738","277","37.53%","0.81%","16","2.17%","6"
"318","58.67%","11","542","209","38.56%","1.11%","9","1.66%","6"
"285","67.86%","12","420","130","30.95%","0.48%","3","0.71%","2"
"427","73.49%","13","581","147","25.30%","0.34%","5","0.86%","2"
"408","62.67%","14","651","233","35.79%","0.31%","8","1.23%","2"
"401","62.75%","15","639","223","34.90%","0.47%","12","1.88%","3"
"424","63.95%","16","663","219","33.03%","1.21%","12","1.81%","8"
"325","61.55%","17","528","198","37.50%","0.57%","2","0.38%","3"
"393","62.38%","18","630","224","35.56%","0.95%","7","1.11%","6"
"457","69.56%","19","657","182","27.70%","0.76%","13","1.98%","5"
"421","67.36%","20","625","183","29.28%","1.12%","14","2.24%","7"
"415","64.04%","21","648","212","32.72%","1.08%","14","2.16%","7"
"390","66.67%","22","585","180","30.77%","0.68%","11","1.88%","4"
"","%","","Votes Cast","","%","%","","%",""
"340","65.51%","23","519","172","33.14%","0.77%","3","0.58%","4"
"342","65.27%","24","524","175","33.40%","0.38%","5","0.95%","2"
"353","68.68%","25","514","154","29.96%","0.39%","5","0.97%","2"
"284","72.26%","26","393","105","26.72%","0.51%","2","0.51%","2"
"269","65.77%","27","409","132","32.27%","0.73%","5","1.22%","3"
"522","65.09%","28","802","271","33.79%","0.12%","8","1.00%","1"
"359","65.63%","29","547","178","32.54%","0.91%","5","0.91%","5"
"447","64.97%","30","688","225","32.70%","0.73%","11","1.60%","5"
"450","69.12%","31","651","188","28.88%","0.61%","9","1.38%","4"
"429","67.67%","32","634","189","29.81%","0.95%","10","1.58%","6"
"386","57.36%","33","673","277","41.16%","0.30%","8","1.19%","2"
"325","69.59%","34","467","129","27.62%","1.07%","8","1.71%","5"
"420","57.38%","35","732","306","41.80%","0.14%","5","0.68%","1"
"16934","64.75%","","","8694","33.24%","0.60%","367","1.40%","157"
"225","66.18%","36","340","106","31.18%","0.59%","7","2.06%","2"
"460","69.38%","37","663","193","29.11%","0.45%","7","1.06%","3"
"309","53.93%","38","573","261","45.55%","0.17%","2","0.35%","1"
"345","64.49%","39","535","177","33.08%","0.19%","12","2.24%","1"
"325","67.85%","40","479","138","28.81%","0.84%","12","2.51%","4"
"508","65.97%","41","770","247","32.08%","0.39%","12","1.56%","3"
"402","67.34%","42","597","175","29.31%","0.84%","15","2.51%","5"
"407","59.24%","43","687","274","39.88%","0.15%","5","0.73%","1"
"403","66.17%","44","609","190","31.20%","0.99%","10","1.64%","6"
"","%","","Votes Cast","","%","%","","%",""
"537","78.74%","1","682","133","19.50%","0.73%","7","1.03%","5"
"448","66.27%","2","676","212","31.36%","0.59%","12","1.78%","4"
"470","73.67%","3","638","161","25.24%","0.63%","3","0.47%","4"
